open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
1772118000000,67696.89,67743.36,66761.16,67382.0,2095.8814,1772121599999,140817662.2191817,586764,1033.2485,69433914.2870323
1772121600000,67382.0,67566.85,66500.0,66643.55,2050.20093,1772125199999,137149109.805884,447034,902.12577,60385336.654616
1772125200000,66643.56,67044.1,66600.46,66826.8,885.82755,1772128799999,59211744.4880778,303680,448.45505,29975941.708585
1772128800000,66826.8,67373.9,66575.73,67310.53,1058.47196,1772132399999,70966435.7052236,267395,599.04363,40187308.8122195
1772132400000,67310.53,67903.12,67285.99,67589.22,1235.95013,1772135999999,83561525.723629,233823,629.95126,42586668.2643402
1772136000000,67589.21,67831.11,67269.42,67414.07,597.88987,1772139599999,40364486.062573,145007,255.61993,17263968.1308737
1772139600000,67414.07,67575.97,67150.14,67463.65,299.84732,1772143199999,20205025.3693442,110309,153.19526,10324645.5016126
1772143200000,67463.65,67630.22,67301.75,67572.3,291.6336,1772146799999,19684545.6471413,63695,142.0729,9593702.7542288
1772146800000,67572.3,67656.11,67390.65,67485.18,314.51737,1772150399999,21242311.0113606,85966,175.74626,11871562.7906273
1772150400000,67485.19,67537.84,67000.0,67226.5,462.9103,1772153999999,31138039.1838238,161051,168.68501,11341924.0965724
1772154000000,67226.5,67398.86,66885.0,67352.26,818.15438,1772157599999,54951585.6313265,221491,411.76727,27662945.6276272
1772157600000,67352.26,67546.15,67263.56,67266.58,463.09611,1772161199999,31216056.8157792,155380,246.08841,16588149.4286644
1772161200000,67266.58,67712.16,67099.71,67600.84,415.67371,1772164799999,27986842.7875196,122053,229.63541,15464277.6752863
1772164800000,67600.84,68216.8,67578.67,67747.49,1318.53811,1772168399999,89492574.2412964,220102,662.93004,44997868.3563247
1772168400000,67747.49,67924.0,67683.3,67724.99,411.56603,1772171999999,27904096.6987243,103479,238.67979,16181696.2450644
1772172000000,67725.0,67823.9,67525.46,67658.14,398.60368,1772175599999,26971881.7626564,100102,154.17927,10436217.0687114
1772175600000,67658.14,67774.48,67459.3,67690.6,896.56486,1772179199999,60619500.3945688,128527,506.89097,34284562.8020839
1772179200000,67690.6,68079.83,67655.86,67926.24,712.98047,1772182799999,48423658.1192123,134785,340.57652,23129987.0766183
1772182800000,67926.25,68149.93,67284.22,67355.73,1377.2902,1772186399999,93459080.2098035,161150,407.7591,27655595.6504278
1772186400000,67355.72,67416.78,66574.0,66604.91,1414.83211,1772189999999,94615802.5404306,200521,560.28646,37473827.1690755
1772190000000,66604.9,66778.68,65960.01,66126.99,1399.59256,1772193599999,92832488.5939232,172892,607.8794,40309538.0982945
1772193600000,66126.99,66217.42,65734.71,65928.01,1855.03329,1772197199999,122330522.2919698,148952,964.24818,63592352.4606257
1772197200000,65928.01,66344.9,65649.34,66270.55,1278.55317,1772200799999,84381366.9939421,173926,646.82095,42695906.1402171
1772200800000,66270.55,66334.87,65686.64,65887.59,1404.23206,1772204399999,92690097.8410924,293644,733.61076,48412822.2068334
